NAME,Median_Income,state,county,Tract
"Census Tract 8330, Cook County, Illinois",145236,17,031,833000
"Census Tract 8331, Cook County, Illinois",131852,17,031,833100
"Census Tract 8333, Cook County, Illinois",61964,17,031,833300
"Census Tract 8339, Cook County, Illinois",36116,17,031,833900
"Census Tract 8340, Cook County, Illinois",48750,17,031,834000
"Census Tract 8342, Cook County, Illinois",54830,17,031,834200
"Census Tract 8343, Cook County, Illinois",58750,17,031,834300
"Census Tract 8344, Cook County, Illinois",43971,17,031,834400
"Census Tract 8345, Cook County, Illinois",40769,17,031,834500
"Census Tract 8346, Cook County, Illinois",27431,17,031,834600
"Census Tract 8347, Cook County, Illinois",23992,17,031,834700
"Census Tract 8348, Cook County, Illinois",17241,17,031,834800
"Census Tract 8349, Cook County, Illinois",19375,17,031,834900
"Census Tract 8350, Cook County, Illinois",31449,17,031,835000
"Census Tract 8351, Cook County, Illinois",39324,17,031,835100
"Census Tract 8352, Cook County, Illinois",52043,17,031,835200
"Census Tract 8355, Cook County, Illinois",18152,17,031,835500
"Census Tract 8356, Cook County, Illinois",18190,17,031,835600
"Census Tract 8358, Cook County, Illinois",76473,17,031,835800
"Census Tract 8360, Cook County, Illinois",69056,17,031,836000
"Census Tract 8361, Cook County, Illinois",21638,17,031,836100
"Census Tract 8362, Cook County, Illinois",-666666666,17,031,836200
"Census Tract 8363, Cook County, Illinois",47297,17,031,836300
"Census Tract 8364, Cook County, Illinois",27625,17,031,836400
"Census Tract 8365, Cook County, Illinois",50591,17,031,836500
"Census Tract 8366, Cook County, Illinois",53406,17,031,836600
"Census Tract 8367, Cook County, Illinois",35260,17,031,836700
"Census Tract 8368, Cook County, Illinois",13733,17,031,836800
"Census Tract 8369, Cook County, Illinois",25556,17,031,836900
"Census Tract 8370, Cook County, Illinois",31825,17,031,837000
"Census Tract 8371, Cook County, Illinois",21231,17,031,837100
"Census Tract 8373, Cook County, Illinois",15925,17,031,837300
"Census Tract 8374, Cook County, Illinois",32838,17,031,837400
"Census Tract 8378, Cook County, Illinois",65396,17,031,837800
"Census Tract 8380, Cook County, Illinois",23175,17,031,838000
